"","AbsoluteCS","Acceleration.forward","Acceleration.side","Acceleration.up","Rotation.roll","Rotation.pitch","Rotation.yaw","imuRotation.pitch","imuRotation.roll","imuRotation.yaw","RawPlayerLoad","SmoothedPlayerLoad"
"69",167277493676,-0.794244,-0.101156,0.566764,3.782,-1.22,16.104,0.33385146,14.94183,7.194511,0.0063476562,0.034647334
"70",167277493677,-0.797632,-0.094863996,0.56531197,4.1480002,-1.281,15.555,0.15698928,14.755604,6.561434,0.00390625,0.034784667
"71",167277493678,-0.796664,-0.08712,0.567248,4.697,-1.159,15.0060005,0.15607089,14.673983,5.7649865,0.0053710938,0.034972668
"72",167277493679,-0.79279196,-0.083732,0.57354,4.697,-1.342,14.884,-0.073620915,14.593633,5.693567,0.0053710938,0.035209335
"73",167277493680,-0.794244,-0.084216,0.57402396,5.063,-0.85400003,14.701,0.34157884,14.662054,5.2335677,0.0024414062,0.035496
"74",167277493681,-0.79859996,-0.081312,0.572572,5.429,-0.42700002,14.457,0.6937071,14.687277,4.739604,0.0024414062,0.035833333
"75",167277493682,-0.79859996,-0.07986,0.572088,6.222,-0.122,14.03,0.8900391,14.8398075,3.815362,0.0014648438,0.036223333
"76",167277493683,-0.791824,-0.070663996,0.573056,6.5880003,0,13.725,0.93605506,14.828327,3.3199148,0.005859375,0.03666533
"77",167277493684,-0.789404,-0.060983997,0.55998796,7.198,0.122,12.993,0.93748975,14.634102,2.3681936,0.009765625,0.03716
"78",167277493685,-0.794728,-0.057111997,0.566764,7.5030003,0.122,12.505,0.85627735,14.444824,1.8162589,0.0053710938,0.037706003
"79",167277493686,-0.785532,-0.052272,0.56289196,7.686,0,11.59,0.62820256,13.8487,1.105269,0.0063476562,0.038302
"80",167277493687,-0.77343196,-0.049367998,0.56144,7.869,0.183,11.224,0.7526717,13.6698,0.70917654,0.008300781,0.038948
"81",167277493688,-0.782144,-0.032428,0.570636,8.174,-0.183,10.553,0.30466524,13.34598,0.07487106,0.011230469,0.039644
"82",167277493689,-0.777304,-0.032912,0.57354,8.2960005,-0.122,9.882,0.29421574,12.892204,-0.44378996,0.0053710938,0.040388666
"83",167277493690,-0.77585196,-0.027587999,0.57402396,8.235,0.122,9.089,0.46793434,12.222669,-0.90962315,0.0043945312,0.041181337
"84",167277493691,-0.777788,-0.017908,0.56821597,7.9300003,0.549,8.601,0.8565206,11.637023,-1.0048003,0.0073242188,0.04202133
"85",167277493692,-0.77585196,-0.001936,0.56579596,7.381,0.732,7.869,0.99592555,10.71732,-1.0408278,0.011230469,0.04290933
"86",167277493693,-0.787952,-0.000968,0.569668,6.527,0.915,6.954,1.1370395,9.466381,-0.94437313,0.0078125,0.043844666
"87",167277493694,-0.79134,-0.011616,0.574992,6.1610003,1.159,5.612,1.30531,8.176682,-1.4945877,0.0053710938,0.044826664
"88",167277493695,-0.80150396,-0.03146,0.56821597,5.978,1.159,4.514,1.2447096,7.1966076,-2.0286725,0.013671875,0.045856
"89",167277493696,-0.8107,-0.044044,0.56821597,6.1610003,0.976,3.538,1.002045,6.540679,-2.7646637,0.013671875,0.046932667
"90",167277493697,-0.807796,-0.059047997,0.569184,5.978,0.732,2.44,0.7041473,5.565058,-3.2802758,0.013183594,0.048055336
"91",167277493698,-0.80973196,-0.06534,0.56579596,6.039,0.61,1.7080001,0.5423677,5.024113,-3.7713401,0.009765625,0.049222663
"92",167277493699,-0.81505597,-0.066792,0.56821597,6.466,0.549,1.098,0.43914616,4.7999406,-4.481505,0.005859375,0.050433997
"93",167277493700,-0.81263596,-0.06292,0.573056,6.5880003,0.305,0,0.13655597,4.0083046,-5.2354193,0.001953125,0.051686
"94",167277493701,-0.811668,-0.056628,0.580316,7.32,0.42700002,-0.976,0.19163519,3.675145,-6.4166894,0.0053710938,0.052977335
"95",167277493702,-0.80682796,-0.047431998,0.577412,8.052,0.915,-2.7450001,0.57332987,2.7025425,-8.097809,0.0063476562,0.054306
"96",167277493703,-0.810216,-0.034848,0.56144,9.455,1.586,-5.002,1.099371,1.7412307,-10.615644,0.01171875,0.055666666
"97",167277493704,-0.81312,-0.026136,0.54014397,10.858,1.891,-8.052,1.2225809,0.1494546,-13.593738,0.017089844,0.057053998
"98",167277493705,-0.807796,-0.026136,0.535788,12.139,1.952,-10.492001,1.1349869,-1.0380883,-16.089808,0.009277344,0.05846533
"99",167277493706,-0.802472,-0.036784,0.534336,13.115,1.83,-12.871,0.86815846,-2.3580565,-18.294827,0.0068359375,0.059898667
"100",167277493707,-0.785532,-0.046948,0.550308,13.908,1.952,-14.396,0.88428026,-3.10676,-19.850782,0.013183594,0.061350666
"101",167277493708,-0.79037195,-0.05082,0.556116,14.335,2.196,-15.9210005,1.0236924,-4.082471,-21.120567,0.0078125,0.06281867
"102",167277493709,-0.79134,-0.044528,0.57354,14.884,2.806,-16.897,1.5535791,-4.553273,-22.175884,0.011230469,0.064302
"103",167277493710,-0.792308,-0.034364,0.56579596,15.494,3.477,-18.483,2.1108499,-5.483055,-23.648579,0.0053710938,0.065794
"104",167277493711,-0.800536,-0.02904,0.55708396,16.47,3.538,-20.191,2.0398602,-6.2828474,-25.452301,0.0068359375,0.067291334
"105",167277493712,-0.816024,-0.020812,0.567732,17.568,4.026,-22.021,2.384774,-7.124392,-27.446741,0.012207031,0.06879133
"106",167277493713,-0.8228,-0.013552,0.574508,18.361,5.795,-23.668001,4.0224786,-8.041728,-29.155323,0.01171875,0.070289336
